source_name,unit,start_date,end_date,value
FITINDEX,lb,2025-05-28 23:11:18-07:00,2025-05-28 23:11:18-07:00,184.6
FITINDEX,lb,2025-05-28 23:14:48-07:00,2025-05-28 23:14:48-07:00,184.6
FITINDEX,lb,2024-12-28 00:43:58-07:00,2024-12-28 00:43:58-07:00,189.4
MyNetDiary,lb,2024-12-28 22:54:33-07:00,2024-12-28 22:54:33-07:00,186.0
FITINDEX,lb,2024-12-28 20:49:39-07:00,2024-12-28 20:49:39-07:00,186.4
MyNetDiary,lb,2025-01-07 01:27:43-07:00,2025-01-07 01:27:43-07:00,186.0
MyNetDiary,lb,2024-05-27 16:17:59-07:00,2024-05-27 16:17:59-07:00,191.0
FITINDEX,lb,2024-08-28 20:30:22-07:00,2024-08-28 20:30:22-07:00,195.6
MyNetDiary,lb,2024-01-29 02:03:02-07:00,2024-01-29 02:03:02-07:00,195.0
FITINDEX,lb,2024-04-01 23:19:52-07:00,2024-04-01 23:19:52-07:00,193.0
MyNetDiary,lb,2023-08-23 19:24:59-07:00,2023-08-23 19:24:59-07:00,190.0
Fitdays,lb,2023-08-23 21:47:55-07:00,2023-08-23 21:47:55-07:00,190.1
Fitdays,lb,2022-11-30 12:47:05-07:00,2022-11-30 12:47:05-07:00,174.0
Fitdays,lb,2022-12-01 16:57:34-07:00,2022-12-01 16:57:34-07:00,178.0
Fitdays,lb,2022-12-02 14:00:01-07:00,2022-12-02 14:00:01-07:00,176.9
Fitdays,lb,2022-12-07 12:35:49-07:00,2022-12-07 12:35:49-07:00,175.4
Fitdays,lb,2022-12-08 14:20:24-07:00,2022-12-08 14:20:24-07:00,175.7
Fitdays,lb,2022-12-29 08:06:00-07:00,2022-12-29 08:06:00-07:00,172.7
Fitdays,lb,2023-02-06 13:55:53-07:00,2023-02-06 13:55:53-07:00,174.8
MyNetDiary,lb,2022-06-22 19:34:52-07:00,2022-06-22 19:34:52-07:00,172.4
MyNetDiary,lb,2022-07-24 22:57:18-07:00,2022-07-24 22:57:18-07:00,174.0
MyNetDiary,lb,2022-09-22 17:10:31-07:00,2022-09-22 17:10:31-07:00,169.0
MyNetDiary,lb,2021-07-28 00:39:04-07:00,2021-07-28 00:39:04-07:00,190.001
MyNetDiary,lb,2021-08-28 21:31:43-07:00,2021-08-28 21:31:43-07:00,191.2
MyNetDiary,lb,2021-09-29 20:45:16-07:00,2021-09-29 20:45:16-07:00,189.0
MyNetDiary,lb,2021-10-20 14:52:10-07:00,2021-10-20 14:52:10-07:00,181.0
MyNetDiary,lb,2019-07-04 12:00:00-07:00,2019-07-04 12:00:00-07:00,176.899
MyNetDiary,lb,2019-07-08 10:57:16-07:00,2019-07-08 10:57:16-07:00,176.599
MyNetDiary,lb,2019-07-09 12:59:59-07:00,2019-07-09 12:59:59-07:00,175.801
MyNetDiary,lb,2019-07-11 10:05:07-07:00,2019-07-11 10:05:07-07:00,173.799
MyNetDiary,lb,2019-07-12 08:34:11-07:00,2019-07-12 08:34:11-07:00,173.601
MyNetDiary,lb,2019-07-19 11:52:51-07:00,2019-07-19 11:52:51-07:00,175.199
MyNetDiary,lb,2019-07-24 07:45:18-07:00,2019-07-24 07:45:18-07:00,174.8
MyNetDiary,lb,2019-07-25 08:09:00-07:00,2019-07-25 08:09:00-07:00,174.2
MyNetDiary,lb,2019-07-26 09:01:44-07:00,2019-07-26 09:01:44-07:00,174.2
MyNetDiary,lb,2019-07-27 09:07:27-07:00,2019-07-27 09:07:27-07:00,176.5
MyNetDiary,lb,2019-07-29 10:58:55-07:00,2019-07-29 10:58:55-07:00,174.0
MyNetDiary,lb,2019-07-31 08:15:45-07:00,2019-07-31 08:15:45-07:00,173.2
MyNetDiary,lb,2019-11-13 00:57:50-07:00,2019-11-13 00:57:50-07:00,171.8
Melody’s iPhone,lb,2019-03-04 00:13:02-07:00,2019-03-04 00:13:02-07:00,177.0
FITINDEX,lb,2025-07-30 23:08:51-07:00,2025-07-30 23:08:51-07:00,184.6
FITINDEX,lb,2025-10-14 21:52:22-07:00,2025-10-14 21:52:22-07:00,177.2
FITINDEX,lb,2025-12-11 11:55:16-07:00,2025-12-11 11:55:16-07:00,175.6
FITINDEX,lb,2026-04-28 15:54:00-07:00,2026-04-28 15:54:00-07:00,173.2
FITINDEX,lb,2026-04-28 20:38:14-07:00,2026-04-28 20:38:14-07:00,173.2
Connect,lb,2026-04-28 17:15:09-07:00,2026-04-28 17:15:09-07:00,173.197
Connect,lb,2026-05-15 22:13:07-07:00,2026-05-15 22:13:07-07:00,173.195
FITINDEX,lb,2026-06-10 06:49:05-07:00,2026-06-10 06:49:05-07:00,177.4
