source_name,unit,start_date,end_date,value
Watch,count/min,2023-11-23 01:22:28-07:00,2023-11-23 01:22:28-07:00,26.5
Watch,count/min,2023-11-23 01:33:58-07:00,2023-11-23 01:33:58-07:00,21.5
Watch,count/min,2023-11-23 02:23:28-07:00,2023-11-23 02:23:28-07:00,21.5
Watch,count/min,2023-11-23 02:40:28-07:00,2023-11-23 02:40:28-07:00,20.0
Watch,count/min,2023-11-23 02:51:28-07:00,2023-11-23 02:51:28-07:00,23.5
Watch,count/min,2023-11-23 02:51:58-07:00,2023-11-23 02:51:58-07:00,23.0
Watch,count/min,2023-11-23 03:10:58-07:00,2023-11-23 03:10:58-07:00,18.5
Watch,count/min,2023-11-23 03:17:58-07:00,2023-11-23 03:17:58-07:00,18.5
Watch,count/min,2023-11-23 03:23:58-07:00,2023-11-23 03:23:58-07:00,18.0
Watch,count/min,2023-11-23 03:33:29-07:00,2023-11-23 03:33:29-07:00,17.5
Watch,count/min,2023-11-23 03:43:59-07:00,2023-11-23 03:43:59-07:00,17.5
Watch,count/min,2023-11-23 03:56:59-07:00,2023-11-23 03:56:59-07:00,17.5
Watch,count/min,2023-11-23 04:05:29-07:00,2023-11-23 04:05:29-07:00,17.0
Watch,count/min,2023-11-23 04:19:59-07:00,2023-11-23 04:19:59-07:00,16.0
Watch,count/min,2023-11-23 04:29:59-07:00,2023-11-23 04:29:59-07:00,17.0
Watch,count/min,2023-11-23 04:37:59-07:00,2023-11-23 04:37:59-07:00,16.0
Watch,count/min,2023-11-23 04:48:59-07:00,2023-11-23 04:48:59-07:00,20.0
Watch,count/min,2023-11-23 05:01:29-07:00,2023-11-23 05:01:29-07:00,17.0
Watch,count/min,2023-11-23 05:07:29-07:00,2023-11-23 05:07:29-07:00,16.5
Watch,count/min,2023-11-23 05:17:29-07:00,2023-11-23 05:17:29-07:00,16.5
Watch,count/min,2023-11-23 05:22:29-07:00,2023-11-23 05:22:29-07:00,16.0
Watch,count/min,2023-11-23 05:32:59-07:00,2023-11-23 05:32:59-07:00,17.0
Watch,count/min,2023-11-23 05:41:59-07:00,2023-11-23 05:41:59-07:00,17.5
Watch,count/min,2023-11-23 05:55:59-07:00,2023-11-23 05:55:59-07:00,17.0
Watch,count/min,2023-11-23 06:11:29-07:00,2023-11-23 06:11:29-07:00,16.5
Watch,count/min,2023-11-23 06:16:59-07:00,2023-11-23 06:16:59-07:00,17.0
Watch,count/min,2023-11-23 06:30:29-07:00,2023-11-23 06:30:29-07:00,17.0
Watch,count/min,2023-11-23 06:35:29-07:00,2023-11-23 06:35:29-07:00,22.0
Watch,count/min,2023-11-23 06:42:59-07:00,2023-11-23 06:42:59-07:00,16.0
Watch,count/min,2023-11-23 07:00:59-07:00,2023-11-23 07:00:59-07:00,16.0
Watch,count/min,2023-11-23 07:08:29-07:00,2023-11-23 07:08:29-07:00,17.0
Watch,count/min,2023-11-23 07:19:59-07:00,2023-11-23 07:19:59-07:00,17.5
Watch,count/min,2023-11-23 07:22:59-07:00,2023-11-23 07:22:59-07:00,16.5
Watch,count/min,2023-11-23 07:40:30-07:00,2023-11-23 07:40:30-07:00,17.0
Watch,count/min,2023-11-23 07:48:00-07:00,2023-11-23 07:48:00-07:00,15.5
Watch,count/min,2023-11-23 07:55:00-07:00,2023-11-23 07:55:00-07:00,17.5
Watch,count/min,2023-11-23 08:02:00-07:00,2023-11-23 08:02:00-07:00,16.5
Watch,count/min,2023-11-23 08:15:30-07:00,2023-11-23 08:15:30-07:00,17.0
Watch,count/min,2023-11-27 22:34:06-07:00,2023-11-27 22:34:06-07:00,24.0
Watch,count/min,2023-11-27 22:35:36-07:00,2023-11-27 22:35:36-07:00,25.0
Watch,count/min,2023-11-27 23:29:37-07:00,2023-11-27 23:29:37-07:00,22.0
Watch,count/min,2023-11-27 23:40:37-07:00,2023-11-27 23:40:37-07:00,24.5
Watch,count/min,2023-11-28 01:13:37-07:00,2023-11-28 01:13:37-07:00,25.0
Watch,count/min,2023-12-07 03:03:42-07:00,2023-12-07 03:03:42-07:00,22.5
Watch,count/min,2023-12-07 03:14:42-07:00,2023-12-07 03:14:42-07:00,21.5
Watch,count/min,2023-12-07 03:26:42-07:00,2023-12-07 03:26:42-07:00,20.0
Watch,count/min,2023-12-07 03:28:12-07:00,2023-12-07 03:28:12-07:00,20.5
Watch,count/min,2023-12-07 03:45:43-07:00,2023-12-07 03:45:43-07:00,18.5
Watch,count/min,2023-12-07 03:50:43-07:00,2023-12-07 03:50:43-07:00,18.5
Watch,count/min,2023-12-07 03:58:13-07:00,2023-12-07 03:58:13-07:00,17.5
Watch,count/min,2023-12-07 04:14:43-07:00,2023-12-07 04:14:43-07:00,18.5
Watch,count/min,2023-12-07 04:20:14-07:00,2023-12-07 04:20:14-07:00,19.0
Watch,count/min,2023-12-07 04:36:44-07:00,2023-12-07 04:36:44-07:00,17.0
Watch,count/min,2023-12-07 04:40:14-07:00,2023-12-07 04:40:14-07:00,18.0
Watch,count/min,2023-12-07 04:51:14-07:00,2023-12-07 04:51:14-07:00,17.0
Watch,count/min,2023-12-07 05:06:45-07:00,2023-12-07 05:06:45-07:00,18.0
Watch,count/min,2023-12-07 05:16:15-07:00,2023-12-07 05:16:15-07:00,18.5
Watch,count/min,2023-12-07 05:24:45-07:00,2023-12-07 05:24:45-07:00,18.0
Watch,count/min,2023-12-07 05:30:15-07:00,2023-12-07 05:30:15-07:00,17.5
Watch,count/min,2023-12-07 05:39:15-07:00,2023-12-07 05:39:15-07:00,19.0
Watch,count/min,2023-12-07 05:49:15-07:00,2023-12-07 05:49:15-07:00,17.5
Watch,count/min,2023-12-07 06:02:46-07:00,2023-12-07 06:02:46-07:00,19.0
Watch,count/min,2023-12-07 06:14:16-07:00,2023-12-07 06:14:16-07:00,18.0
Watch,count/min,2023-12-07 06:23:46-07:00,2023-12-07 06:23:46-07:00,19.5
Watch,count/min,2023-12-07 06:28:16-07:00,2023-12-07 06:28:16-07:00,18.0
Watch,count/min,2023-12-07 06:38:46-07:00,2023-12-07 06:38:46-07:00,17.5
Watch,count/min,2023-12-07 06:55:16-07:00,2023-12-07 06:55:16-07:00,17.5
Watch,count/min,2023-12-07 07:05:46-07:00,2023-12-07 07:05:46-07:00,17.0
Watch,count/min,2023-12-07 07:14:16-07:00,2023-12-07 07:14:16-07:00,17.0
Watch,count/min,2023-12-07 07:17:46-07:00,2023-12-07 07:17:46-07:00,18.0
Watch,count/min,2023-12-07 07:31:16-07:00,2023-12-07 07:31:16-07:00,18.5
Watch,count/min,2023-12-07 07:39:46-07:00,2023-12-07 07:39:46-07:00,16.5
Watch,count/min,2023-12-07 07:53:16-07:00,2023-12-07 07:53:16-07:00,20.0
Watch,count/min,2023-12-07 08:02:16-07:00,2023-12-07 08:02:16-07:00,19.0
Watch,count/min,2023-12-07 08:08:16-07:00,2023-12-07 08:08:16-07:00,16.0
Watch,count/min,2023-12-07 08:24:17-07:00,2023-12-07 08:24:17-07:00,17.5
Watch,count/min,2023-12-07 08:34:47-07:00,2023-12-07 08:34:47-07:00,18.5
Watch,count/min,2023-12-07 08:42:17-07:00,2023-12-07 08:42:17-07:00,18.0
Watch,count/min,2023-12-07 08:51:17-07:00,2023-12-07 08:51:17-07:00,18.5
Watch,count/min,2023-06-02 00:18:06-07:00,2023-06-02 00:18:06-07:00,20.5
Watch,count/min,2023-06-05 01:36:01-07:00,2023-06-05 01:36:01-07:00,20.0
