source_name,unit,start_date,end_date,value
Watch,count/min,2023-11-23 01:22:28 -0700,2023-11-23 01:22:28 -0700,26.5
Watch,count/min,2023-11-23 01:33:58 -0700,2023-11-23 01:33:58 -0700,21.5
Watch,count/min,2023-11-23 02:23:28 -0700,2023-11-23 02:23:28 -0700,21.5
Watch,count/min,2023-11-23 02:40:28 -0700,2023-11-23 02:40:28 -0700,20
Watch,count/min,2023-11-23 02:51:28 -0700,2023-11-23 02:51:28 -0700,23.5
Watch,count/min,2023-11-23 02:51:58 -0700,2023-11-23 02:51:58 -0700,23
Watch,count/min,2023-11-23 03:10:58 -0700,2023-11-23 03:10:58 -0700,18.5
Watch,count/min,2023-11-23 03:17:58 -0700,2023-11-23 03:17:58 -0700,18.5
Watch,count/min,2023-11-23 03:23:58 -0700,2023-11-23 03:23:58 -0700,18
Watch,count/min,2023-11-23 03:33:29 -0700,2023-11-23 03:33:29 -0700,17.5
Watch,count/min,2023-11-23 03:43:59 -0700,2023-11-23 03:43:59 -0700,17.5
Watch,count/min,2023-11-23 03:56:59 -0700,2023-11-23 03:56:59 -0700,17.5
Watch,count/min,2023-11-23 04:05:29 -0700,2023-11-23 04:05:29 -0700,17
Watch,count/min,2023-11-23 04:19:59 -0700,2023-11-23 04:19:59 -0700,16
Watch,count/min,2023-11-23 04:29:59 -0700,2023-11-23 04:29:59 -0700,17
Watch,count/min,2023-11-23 04:37:59 -0700,2023-11-23 04:37:59 -0700,16
Watch,count/min,2023-11-23 04:48:59 -0700,2023-11-23 04:48:59 -0700,20
Watch,count/min,2023-11-23 05:01:29 -0700,2023-11-23 05:01:29 -0700,17
Watch,count/min,2023-11-23 05:07:29 -0700,2023-11-23 05:07:29 -0700,16.5
Watch,count/min,2023-11-23 05:17:29 -0700,2023-11-23 05:17:29 -0700,16.5
Watch,count/min,2023-11-23 05:22:29 -0700,2023-11-23 05:22:29 -0700,16
Watch,count/min,2023-11-23 05:32:59 -0700,2023-11-23 05:32:59 -0700,17
Watch,count/min,2023-11-23 05:41:59 -0700,2023-11-23 05:41:59 -0700,17.5
Watch,count/min,2023-11-23 05:55:59 -0700,2023-11-23 05:55:59 -0700,17
Watch,count/min,2023-11-23 06:11:29 -0700,2023-11-23 06:11:29 -0700,16.5
Watch,count/min,2023-11-23 06:16:59 -0700,2023-11-23 06:16:59 -0700,17
Watch,count/min,2023-11-23 06:30:29 -0700,2023-11-23 06:30:29 -0700,17
Watch,count/min,2023-11-23 06:35:29 -0700,2023-11-23 06:35:29 -0700,22
Watch,count/min,2023-11-23 06:42:59 -0700,2023-11-23 06:42:59 -0700,16
Watch,count/min,2023-11-23 07:00:59 -0700,2023-11-23 07:00:59 -0700,16
Watch,count/min,2023-11-23 07:08:29 -0700,2023-11-23 07:08:29 -0700,17
Watch,count/min,2023-11-23 07:19:59 -0700,2023-11-23 07:19:59 -0700,17.5
Watch,count/min,2023-11-23 07:22:59 -0700,2023-11-23 07:22:59 -0700,16.5
Watch,count/min,2023-11-23 07:40:30 -0700,2023-11-23 07:40:30 -0700,17
Watch,count/min,2023-11-23 07:48:00 -0700,2023-11-23 07:48:00 -0700,15.5
Watch,count/min,2023-11-23 07:55:00 -0700,2023-11-23 07:55:00 -0700,17.5
Watch,count/min,2023-11-23 08:02:00 -0700,2023-11-23 08:02:00 -0700,16.5
Watch,count/min,2023-11-23 08:15:30 -0700,2023-11-23 08:15:30 -0700,17
Watch,count/min,2023-11-27 22:34:06 -0700,2023-11-27 22:34:06 -0700,24
Watch,count/min,2023-11-27 22:35:36 -0700,2023-11-27 22:35:36 -0700,25
Watch,count/min,2023-11-27 23:29:37 -0700,2023-11-27 23:29:37 -0700,22
Watch,count/min,2023-11-27 23:40:37 -0700,2023-11-27 23:40:37 -0700,24.5
Watch,count/min,2023-11-28 01:13:37 -0700,2023-11-28 01:13:37 -0700,25
Watch,count/min,2023-12-07 03:03:42 -0700,2023-12-07 03:03:42 -0700,22.5
Watch,count/min,2023-12-07 03:14:42 -0700,2023-12-07 03:14:42 -0700,21.5
Watch,count/min,2023-12-07 03:26:42 -0700,2023-12-07 03:26:42 -0700,20
Watch,count/min,2023-12-07 03:28:12 -0700,2023-12-07 03:28:12 -0700,20.5
Watch,count/min,2023-12-07 03:45:43 -0700,2023-12-07 03:45:43 -0700,18.5
Watch,count/min,2023-12-07 03:50:43 -0700,2023-12-07 03:50:43 -0700,18.5
Watch,count/min,2023-12-07 03:58:13 -0700,2023-12-07 03:58:13 -0700,17.5
Watch,count/min,2023-12-07 04:14:43 -0700,2023-12-07 04:14:43 -0700,18.5
Watch,count/min,2023-12-07 04:20:14 -0700,2023-12-07 04:20:14 -0700,19
Watch,count/min,2023-12-07 04:36:44 -0700,2023-12-07 04:36:44 -0700,17
Watch,count/min,2023-12-07 04:40:14 -0700,2023-12-07 04:40:14 -0700,18
Watch,count/min,2023-12-07 04:51:14 -0700,2023-12-07 04:51:14 -0700,17
Watch,count/min,2023-12-07 05:06:45 -0700,2023-12-07 05:06:45 -0700,18
Watch,count/min,2023-12-07 05:16:15 -0700,2023-12-07 05:16:15 -0700,18.5
Watch,count/min,2023-12-07 05:24:45 -0700,2023-12-07 05:24:45 -0700,18
Watch,count/min,2023-12-07 05:30:15 -0700,2023-12-07 05:30:15 -0700,17.5
Watch,count/min,2023-12-07 05:39:15 -0700,2023-12-07 05:39:15 -0700,19
Watch,count/min,2023-12-07 05:49:15 -0700,2023-12-07 05:49:15 -0700,17.5
Watch,count/min,2023-12-07 06:02:46 -0700,2023-12-07 06:02:46 -0700,19
Watch,count/min,2023-12-07 06:14:16 -0700,2023-12-07 06:14:16 -0700,18
Watch,count/min,2023-12-07 06:23:46 -0700,2023-12-07 06:23:46 -0700,19.5
Watch,count/min,2023-12-07 06:28:16 -0700,2023-12-07 06:28:16 -0700,18
Watch,count/min,2023-12-07 06:38:46 -0700,2023-12-07 06:38:46 -0700,17.5
Watch,count/min,2023-12-07 06:55:16 -0700,2023-12-07 06:55:16 -0700,17.5
Watch,count/min,2023-12-07 07:05:46 -0700,2023-12-07 07:05:46 -0700,17
Watch,count/min,2023-12-07 07:14:16 -0700,2023-12-07 07:14:16 -0700,17
Watch,count/min,2023-12-07 07:17:46 -0700,2023-12-07 07:17:46 -0700,18
Watch,count/min,2023-12-07 07:31:16 -0700,2023-12-07 07:31:16 -0700,18.5
Watch,count/min,2023-12-07 07:39:46 -0700,2023-12-07 07:39:46 -0700,16.5
Watch,count/min,2023-12-07 07:53:16 -0700,2023-12-07 07:53:16 -0700,20
Watch,count/min,2023-12-07 08:02:16 -0700,2023-12-07 08:02:16 -0700,19
Watch,count/min,2023-12-07 08:08:16 -0700,2023-12-07 08:08:16 -0700,16
Watch,count/min,2023-12-07 08:24:17 -0700,2023-12-07 08:24:17 -0700,17.5
Watch,count/min,2023-12-07 08:34:47 -0700,2023-12-07 08:34:47 -0700,18.5
Watch,count/min,2023-12-07 08:42:17 -0700,2023-12-07 08:42:17 -0700,18
Watch,count/min,2023-12-07 08:51:17 -0700,2023-12-07 08:51:17 -0700,18.5
Watch,count/min,2023-06-02 00:18:06 -0700,2023-06-02 00:18:06 -0700,20.5
Watch,count/min,2023-06-05 01:36:01 -0700,2023-06-05 01:36:01 -0700,20
Watch,count/min,2023-06-05 01:51:01 -0700,2023-06-05 01:51:01 -0700,16
Watch,count/min,2023-06-05 02:03:32 -0700,2023-06-05 02:03:32 -0700,16.5
