source_name,unit,start_date,end_date,value
Melody’s Apple Watch,count,2021-07-21 10:33:11 -0700,2021-07-21 10:33:33 -0700,11
Melody’s Apple Watch,count,2021-07-21 10:33:48 -0700,2021-07-21 10:34:07 -0700,14
Melody’s Apple Watch,count,2021-07-21 10:34:07 -0700,2021-07-21 10:34:21 -0700,11
Melody’s Apple Watch,count,2021-07-21 10:34:47 -0700,2021-07-21 10:35:04 -0700,12
Melody’s Apple Watch,count,2021-07-21 10:35:30 -0700,2021-07-21 10:35:36 -0700,9
Melody’s Apple Watch,count,2021-07-21 10:35:36 -0700,2021-07-21 10:35:43 -0700,5
Melody’s Apple Watch,count,2021-07-21 10:36:30 -0700,2021-07-21 10:36:45 -0700,14
Melody’s Apple Watch,count,2021-07-21 10:38:00 -0700,2021-07-21 10:38:16 -0700,13
Melody’s Apple Watch,count,2021-07-21 10:39:07 -0700,2021-07-21 10:39:30 -0700,10
Melody’s Apple Watch,count,2021-07-21 10:39:40 -0700,2021-07-21 10:39:56 -0700,14
Melody’s Apple Watch,count,2021-07-21 10:39:56 -0700,2021-07-21 10:41:46 -0700,14
Melody’s Apple Watch,count,2021-07-21 10:41:46 -0700,2021-07-21 10:42:10 -0700,16
Melody’s Apple Watch,count,2021-07-21 10:43:38 -0700,2021-07-21 10:44:00 -0700,14
Melody’s Apple Watch,count,2021-07-21 10:44:17 -0700,2021-07-21 10:44:32 -0700,14
Melody’s Apple Watch,count,2021-07-21 10:44:56 -0700,2021-07-21 10:45:15 -0700,16
Melody’s Apple Watch,count,2021-07-21 10:45:24 -0700,2021-07-21 10:47:21 -0700,19
Melody’s Apple Watch,count,2021-07-21 10:47:26 -0700,2021-07-21 10:47:37 -0700,9
Melody’s Apple Watch,count,2021-07-21 10:48:09 -0700,2021-07-21 10:48:46 -0700,30
Melody’s Apple Watch,count,2021-07-21 10:51:47 -0700,2021-07-21 10:52:08 -0700,13
Melody’s Apple Watch,count,2021-07-21 10:56:03 -0700,2021-07-21 10:57:14 -0700,12
Melody’s Apple Watch,count,2021-07-21 10:59:07 -0700,2021-07-21 10:59:24 -0700,18
Melody’s Apple Watch,count,2021-07-21 11:00:05 -0700,2021-07-21 11:00:32 -0700,20
Melody’s Apple Watch,count,2021-07-21 11:00:51 -0700,2021-07-21 11:01:35 -0700,20
Melody’s Apple Watch,count,2021-07-21 11:02:53 -0700,2021-07-21 11:03:10 -0700,21
Melody’s Apple Watch,count,2021-07-21 11:03:18 -0700,2021-07-21 11:03:27 -0700,6
