source_name,unit,start_date,end_date,value
FITINDEX,in,2025-05-28 23:08:50 -0700,2025-05-28 23:08:50 -0700,33
FITINDEX,in,2024-11-23 22:54:28 -0700,2024-11-23 22:54:28 -0700,32.19
FITINDEX,in,2024-12-28 21:09:33 -0700,2024-12-28 21:09:33 -0700,33.49
FITINDEX,in,2024-12-29 14:51:06 -0700,2024-12-29 14:51:06 -0700,32.92
FITINDEX,in,2025-02-06 00:07:51 -0700,2025-02-06 00:07:51 -0700,33.189
FITINDEX,in,2025-02-06 00:16:29 -0700,2025-02-06 00:16:29 -0700,32.61
FITINDEX,in,2025-02-21 01:00:28 -0700,2025-02-21 01:00:28 -0700,31.68
FITINDEX,in,2024-08-28 20:50:23 -0700,2024-08-28 20:50:23 -0700,35.81
FITINDEX,in,2024-09-13 17:24:27 -0700,2024-09-13 17:24:27 -0700,35.52
FITINDEX,in,2024-09-28 01:41:50 -0700,2024-09-28 01:41:50 -0700,34.72
FITINDEX,in,2024-09-28 01:56:13 -0700,2024-09-28 01:56:13 -0700,34.33
FITINDEX,in,2024-04-01 23:17:01 -0700,2024-04-01 23:17:01 -0700,35.4
MyNetDiary,in,2022-07-15 00:18:02 -0700,2022-07-15 00:18:02 -0700,32.5
MyNetDiary,in,2022-08-29 22:18:42 -0700,2022-08-29 22:18:42 -0700,32.5
MyNetDiary,in,2021-09-09 01:07:26 -0700,2021-09-09 01:07:26 -0700,34
FITINDEX,in,2025-07-30 22:54:37 -0700,2025-07-30 22:54:37 -0700,32.53
FITINDEX,in,2025-10-14 22:02:54 -0700,2025-10-14 22:02:54 -0700,31.73
FITINDEX,in,2026-04-28 20:31:38 -0700,2026-04-28 20:31:38 -0700,31.73
FITINDEX,in,2026-06-10 06:44:24 -0700,2026-06-10 06:44:24 -0700,33.54
FITINDEX,in,2026-06-12 07:39:07 -0700,2026-06-12 07:39:07 -0700,33.24
